entry_time,exit_time,direction,basis_entry,basis_exit,basis_change,entry_p,exit_p,entry_d,exit_d,pnl_perp,pnl_deliv,pnl_total,capital,entry_z,exit_z
2026-03-16 21:36:00+00:00,2026-03-16 23:04:00+00:00,short_basis,72223.25,71991.6,-231.65,74607.5,74350.0,2384.25,2358.4,28.9883,-106.7988,-77.8106,9922.1894,0.9058,0.3994
2026-03-17 00:10:00+00:00,2026-03-17 02:19:00+00:00,short_basis,72820.56,72761.37,-59.19,75192.2,75122.0,2371.64,2360.63,5.0298,-47.5297,-42.4998,9879.6896,0.5215,0.4593
2026-03-17 09:55:00+00:00,2026-03-17 11:19:00+00:00,long_basis,71485.2,71631.71,146.51,73813.1,73976.3,2327.9,2344.59,16.9974,-71.0456,-54.0482,9825.6414,-0.6652,-0.4496
2026-03-17 14:45:00+00:00,2026-03-17 15:33:00+00:00,short_basis,71958.45,71581.89,-376.56,74319.2,73914.0,2360.75,2332.11,47.1587,-116.9757,-69.8171,9755.8243,0.6207,0.1081
2026-03-17 22:32:00+00:00,2026-03-18 01:31:00+00:00,long_basis,71891.73,71768.0,-123.73,74232.0,74116.0,2340.27,2348.0,-18.1901,-34.3199,-52.51,9703.3144,-0.5338,-0.3079
2026-03-18 11:29:00+00:00,2026-03-18 17:24:00+00:00,long_basis,71246.14,69254.43,-1991.71,73555.9,71459.4,2309.76,2204.97,-266.4242,414.5249,148.1008,9851.4152,-0.5706,-0.4793
2026-03-18 20:05:00+00:00,2026-03-18 20:33:00+00:00,long_basis,68542.27,68968.87,426.6,70730.1,71163.1,2187.83,2194.23,53.55,-31.1207,22.4293,9873.8445,-0.7787,-0.487
2026-03-19 03:18:00+00:00,2026-03-19 03:55:00+00:00,short_basis,69188.04,68965.29,-222.75,71418.8,71190.1,2230.76,2224.81,26.2854,-28.7713,-2.4859,9871.3586,0.8799,0.3583
2026-03-19 04:07:00+00:00,2026-03-19 06:08:00+00:00,long_basis,68495.8,68680.55,184.75,70706.7,70883.8,2210.9,2203.25,19.7376,28.6973,48.4348,9919.7934,-0.7432,-0.4856
2026-03-19 07:01:00+00:00,2026-03-19 09:21:00+00:00,long_basis,68137.26,68129.17,-8.09,70322.5,70317.2,2185.24,2188.03,-4.4798,-15.8013,-20.2811,9899.5123,-0.8564,-0.2661
2026-03-19 12:06:00+00:00,2026-03-19 13:49:00+00:00,long_basis,67436.32,67689.72,253.4,69604.0,69841.0,2167.68,2151.28,28.2604,67.39,95.6504,9995.1627,-0.7395,-0.1794
2026-03-19 19:06:00+00:00,2026-03-19 22:05:00+00:00,short_basis,68003.62,68121.2,117.58,70161.2,70279.2,2157.58,2158.0,-19.7679,-1.9498,-21.7177,9973.445,0.5981,0.471
2026-03-20 03:30:00+00:00,2026-03-20 05:31:00+00:00,short_basis,68608.48,68381.25,-227.23,70776.7,70533.3,2168.22,2152.05,28.7937,-74.4502,-45.6565,9927.7885,0.5558,0.2611
2026-03-20 08:09:00+00:00,2026-03-20 09:13:00+00:00,short_basis,68948.18,68656.39,-291.79,71127.1,70826.5,2178.92,2170.11,36.0868,-41.9064,-5.8196,9921.9689,0.6675,0.4606
2026-03-20 13:35:00+00:00,2026-03-20 16:04:00+00:00,long_basis,67780.35,67867.83,87.48,69919.0,70019.3,2138.65,2151.47,9.7512,-60.2731,-50.5219,9871.447,-0.669,-0.4014
2026-03-20 19:55:00+00:00,2026-03-20 20:30:00+00:00,short_basis,67970.6,67737.46,-233.14,70116.2,69877.6,2145.6,2140.14,28.161,-27.6154,0.5456,9871.9926,0.7129,0.315
2026-03-20 21:18:00+00:00,2026-03-21 00:10:00+00:00,short_basis,68380.67,68300.7,-79.97,70542.8,70457.5,2162.13,2156.8,7.5889,-26.8706,-19.2817,9852.7109,0.567,0.466
2026-03-21 07:25:00+00:00,2026-03-21 07:44:00+00:00,short_basis,68652.04,68546.32,-105.72,70823.9,70717.2,2171.86,2170.88,10.3574,-7.9675,2.3899,9855.1008,0.9528,0.4134
2026-03-21 08:23:00+00:00,2026-03-21 09:04:00+00:00,long_basis,68360.02,68484.05,124.03,70525.5,70651.5,2165.48,2167.45,12.9817,-12.2621,0.7196,9855.8204,-0.7927,-0.3712
2026-03-21 13:19:00+00:00,2026-03-21 14:52:00+00:00,short_basis,68604.71,68471.26,-133.45,70776.0,70635.2,2171.29,2163.94,14.8814,-35.4399,-20.5585,9835.2619,0.6001,-0.3385
2026-03-21 16:28:00+00:00,2026-03-21 18:35:00+00:00,long_basis,68204.44,68273.11,68.67,70363.2,70437.9,2158.76,2164.79,6.182,-29.8363,-23.6543,9811.6076,-0.6261,-0.4869
2026-03-21 23:02:00+00:00,2026-03-22 02:28:00+00:00,long_basis,68034.6,67213.64,-820.96,70194.4,69333.0,2159.8,2119.36,-118.1126,170.7981,52.6854,9864.293,-0.5684,-0.292
2026-03-22 07:39:00+00:00,2026-03-22 12:23:00+00:00,long_basis,66852.15,66498.2,-353.95,68963.4,68591.2,2111.25,2093.0,-54.3248,77.2567,22.932,9887.225,-0.6014,-0.3295
2026-03-22 18:34:00+00:00,2026-03-22 22:22:00+00:00,long_basis,66397.96,66086.02,-311.94,68478.3,68146.2,2080.34,2060.18,-49.3098,87.2665,37.9567,9925.1817,-0.5728,-0.3311
2026-03-23 00:40:00+00:00,2026-03-23 01:08:00+00:00,long_basis,65402.45,65818.71,416.26,67450.9,67884.3,2048.45,2065.59,56.8132,-82.6662,-25.853,9899.3286,-0.7465,-0.4628
2026-03-23 03:02:00+00:00,2026-03-23 03:33:00+00:00,short_basis,66438.51,66049.73,-388.78,68521.0,68114.6,2082.49,2064.87,52.0158,-83.3323,-31.3165,9868.0121,0.7212,0.418
2026-03-23 05:00:00+00:00,2026-03-23 06:32:00+00:00,short_basis,66553.95,66361.63,-192.32,68633.8,68426.5,2079.85,2064.87,24.565,-71.2699,-46.7049,9821.3072,0.6345,0.4784
2026-03-23 07:05:00+00:00,2026-03-23 07:38:00+00:00,long_basis,65468.39,66090.49,622.1,67502.6,68146.3,2034.21,2055.81,85.2404,-102.8041,-17.5637,9803.7435,-0.7638,-0.391
2026-03-23 11:05:00+00:00,2026-03-23 15:21:00+00:00,short_basis,67801.1,68825.03,1023.93,69941.1,71003.6,2140.0,2178.57,-145.211,164.1362,18.9252,9822.6688,0.5265,0.4975
2026-03-23 23:19:00+00:00,2026-03-23 23:41:00+00:00,long_basis,68269.2,68583.29,314.09,70423.2,70745.8,2154.0,2162.51,39.014,-40.5995,-1.5855,9821.0832,-0.5001,-0.2341
2026-03-24 01:44:00+00:00,2026-03-24 02:35:00+00:00,long_basis,68216.82,68428.29,211.47,70358.3,70581.1,2141.48,2152.81,25.8129,-53.0947,-27.2818,9793.8014,-0.8284,-0.481
2026-03-24 05:04:00+00:00,2026-03-24 06:05:00+00:00,long_basis,68027.62,68233.13,205.51,70170.5,70380.0,2142.88,2146.87,24.0566,-21.0457,3.0109,9796.8123,-0.7096,-0.3526
2026-03-24 07:09:00+00:00,2026-03-24 11:02:00+00:00,short_basis,68589.49,68851.4,261.91,70759.1,71016.2,2169.61,2164.8,-37.5393,-24.3562,-61.8955,9734.9168,0.6594,0.4168
2026-03-24 13:09:00+00:00,2026-03-24 18:32:00+00:00,long_basis,68526.1,67378.29,-1147.81,70690.1,69510.6,2164.0,2132.31,-158.0097,131.7326,-26.2771,9708.6397,-0.5539,-0.484
2026-03-24 20:26:00+00:00,2026-03-25 02:00:00+00:00,short_basis,68076.62,68411.95,335.33,70241.8,70579.5,2165.18,2167.55,-48.0315,6.4064,-41.6251,9667.0146,0.5908,0.354
2026-03-25 05:06:00+00:00,2026-03-25 07:44:00+00:00,short_basis,68905.14,68841.0,-64.14,71086.3,71023.0,2181.16,2182.0,4.5043,-0.1367,4.3676,9671.3822,1.0599,0.4643
